===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
302	Payroll	Phase II	Others	23		301	Others	A multicurrency setup will be present connected to a third-party information provider to source out exchange rates	A multicurrency setup will be present connected to a third-party information provider to source out exchange rates	Manual inputting of rates, no integration with 3rd party for exchange rates	All Users	Not yet Started	Not yet started	Noted							
303	Payroll	Phase II	Others	23		302	Others	Rollback functionality * Existing in Phase 1	Ensure to have functionality to rollback the changes made for all those features with import and upload facility. * Only the user who was the one who imported or uploaded can rollback the same file/changes made	* if data is used in a transaction already, cannot be reverted/rollbacked	All Users	Covered in phase 1	In progress	Noted							
304	Payroll	Phase II	Payroll	23		303	Others	Data Validation * Existing in Phase 1	* The system should display if there is an error on the imported or uploaded file. * The system should display or can generate details of the error/s encountered on the imported or uploaded file * The system should be able to validate if there are fields that should not have duplicate entries like government numbers, same wih Phase 1 (rules)		P&A Admin, Client Admin	Covered in phase 1	Not applicable	Noted							
305	Payroll	Phase II	Payroll	23		304	Others	Employee group per feature * Existing in Phase 1	This is for setting up, just like what were discussed on Day 1 deepdive, we would like that all features have custom function. * As mentione the same day that we are thinking to have employee groups per feature to accommodate multiple practices/conditions		P&A Admin, Client Admin	Functional / Cosmetic Feature	In progress	In progress							
306	Payroll	Phase II	Payroll	23		305	Others	Progress/Status Bar * Existing in Phase 1	Progress/status bar for processing * While payroll transaction is processing/calculating, there should be a progress/status bar where the processors can view the status of the processing/calculating/uploading		All Users	Functional / Cosmetic Feature	In progress	In progress							
307	Payroll	Phase II	Payroll	23		306	Others	Reports file type * Existing in Phase 1	Currently, reports file type in Dorado are - Acrobat (PDf) file, CSV (comma delimited), excel, powerpoint, rich text format, TIFF file, web archive, word document		All Users	Report Feature	In progress	Noted							
308	Payroll	Phase II	Others	23		307	Others	Account settings * Existing in Phase 1	Reset. unblock, block, enable, enable SSO, disable SSO of user account	User Rights to include the following actions per user: * Cannot include reset, since Payroll is tied to SSO. Resetting should happen in O365 Authenticator * block/unblock * enable/disable SSO (disabling SSO would not allow users to access the application)	P&A Admin, Client Admin	Complete	Approved	Deployed							
309	Payroll	Phase II	Others	23		308	Others	Deactivation/Reactivation of user account * Existing in Phase 1	Deactivation function of user account * Automatic deactivation of account after 30 days of the resignation date * Reactivation function	soft deactivate since main deactivation would be performed on the SSO	P&A Admin, Client Admin	Complete	Approved	Deployed							
310	Payroll	Phase II	Payroll	23		309	Others	Work Program from the system * Existing in Phase 1	Work Program to incorporate in the system * For ISAE 3402 certification * Sample already shared * Template will be uploaded * Can be generated and can be edited/updated/superseded with version numbers		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
311	Payroll	Phase II	Payroll	23		310	Others	Cost Allocation * Existing in Phase 1	Can assign multiple costs charged to multiple clients/departments/divisions - percentage to employees, multiple departments, multiple groups, etc., for entry purposes. * For Payroll with breakdown per field name or account name	Cost percentage and department from transaction (report)	P&A Admin, Client Admin	Not yet Started	In progress	Not yet started							
312	Payroll	Phase II	Payroll	23		311	Others	Multiple bank accounts and allocations * Existing in Phase 1	Multiple bank accounts per company and employee level * Certain amount or percentage from a net pay will be credited to multiple bank accounts		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
313	Payroll	Phase II	Payroll	23		312	Others	Allotment	A recurring specified deduction for a legal purpose from payroll authorized by an employee to be disbursed on a pay period basis to an allotee * A specified amount or percentage will be set up which will be deducted from the payroll and will be disbursed to the assigned bank account number of the allotee		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
314	Payroll	Phase II	Payroll	23		313	Others	Auto compute (bot) * Existing in Phase 1	Auto-compute payroll transactions without manually creating a transaction/triggerring * When the payout schedule and cut off are inputted on the payroll calendar/deliverables, the system will auto compute the payroll transaction. No need to manually create a transaction * To set up as auto-compute client upon onboarding with set timelines on the calendar		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
315	Payroll	Phase II	Payroll	23		314	Others	Large Data Processing	Multitask by batch processing payroll in the background to improve productivity * Multiple uploading at the same time		P&A Admin, Client Admin	Functional / Cosmetic Feature	Not applicable	Noted							
316	Payroll	Phase II	Payroll	23		315	Others	Ready for global payroll configuration * Existing in Phase 1	Currently, the system is for Philippines settings. * The system should be ready for other country configuration		P&A Admin, Client Admin	Functional / Cosmetic Feature	Not applicable	Noted							
317	Payroll	Phase II	Payroll	23		316	Others	Payroll calculator (user)	Employee has the capability to input their compensation, worked hours, time and attendance, etc., to know their expected net pay * Self inquiry		All Users	Not yet Started	Not yet started	Not yet started							
318	Payroll	Phase II	Payroll	23		317	Others	BIR 1700 - Self Service	Self service * Add on service, configurable module * All employees who have 2316 from previous employer can create BIR 1700 on their own * Form generation of the users		Employee	Not yet Started	Not yet started	Not yet started							
